Organizacion	Direccion	Direccion Normalizada	X	Y
ABD	Paseo de la Dirección, 69, 28039 Madrid			
Alianza por la Solidaridad	Calle Jaén, 13 28020 Madrid			
Asociación Española Contra el Cáncer (aecc)	Calle Amador de los Ríos, 5 28010 Madrid			
Fundacion Atresmedia	Av Isla Graciosa, 13 28703 San Sebastián de los Reyes			
Down España	Calle de Machaquito, 10 28043 Madrid 			
Down Madrid	Calle de los Caidos de la División Azul, 15 28016 Madrid			
FEAPS Madrid	Av de la Ciudad de Barcelona, 108, 28007 Madrid			
Fundación Bobath	Calle Mirador de la Reina, 115 28035 Madrid			
Fundación Compromiso y Transparencia	Calle Goya, 48 28001 Madrid			
Fundación Créate	Calle José Abascal, 58 28003 Madrid Spain			
Fundación EHAS	Escuela Técnica Superior de Ingenieros de Telecomunicación - UPM Av Complutense, 30 28040 Madrid			
Fundación Exit	Calle Eraso, 31 28028 Madrid			
Fundación Fernando Pombo	Paseo de la Castellana, 216 28046 Madrid			
Fundación Inocente, Inocente	Calle Enrique Jardiel Poncela, 4 28016 Madrid			
Fundación Junior Achievement	Calle del Príncipe de Vergara, 75 28006 Madrid			
Fundación La Merced Migraciones	Calle Bocángel, 2 28028 Madrid			
Fundación Menudos Corazones	Calle Valdesangil, 19, 28039 Madrid			
Fundación Mozambique Sur	Calle de Apolonio Morales, 19, 28036 Madrid			
Fundación NUMA	Calle Mártires Concepcionistas, 3, 28006 Madrid			
Fundación para la salud geoambiental	Príncipe de Vergara 36, 28001 Madrid			
Mundo Cooperante	Av Portugal, 111, 28011 Madrid			
ONG Rescate Internacional	Calle Luchana, 36 28010 Madrid			
Plataforma de Infancia	Calle de Escosura, 3, 28015 Madrid			
Proyecto Hombre	Calle Sánchez Díaz, 2 28027 Madrid			
Psicólogos Sin Fronteras	Calle Luis Piernas, 38, Madrid			
RAIS Fundación 	Calle Ardemans, 42, 28028 Madrid			
Survival International (España)	Calle del Príncipe, 12, 28012 Madrid			
